Date,Description,Debit,Credit,Balance
01/01/2026,TRF TO LEKKI PHASE 1 LANDLORD - RENT PAYMENT,100000,,150000
01/02/2026,TRF TO LEKKI PHASE 1 LANDLORD - RENT PAYMENT,100000,,50000
01/02/2026,POS - PARK N SHOP SUPERMARKET,24400.0,,25600.0
01/02/2026,CHOWDECK ORDER - RESTAURANT,5700.0,,19900.0
01/03/2026,CHOWDECK ORDER - RESTAURANT,5100.0,,14800.0
02/01/2026,GLOVO GROCERY DELIVERY,9400.0,,5400.0
02/01/2026,GLOVO FOOD DELIVERY ORDER,5800.0,,-400.0
02/01/2026,POS - KFC AJAH LEKKI,6200.0,,-6600.0
02/01/2026,POS - OANDO FILLING STATION,13900.0,,-20500.0
02/02/2026,TRF TO COWRYWISE INVESTMENT,28300.0,,-48800.0
03/01/2026,POS - BARCELOS LEKKI PHASE 1,11500.0,,-60300.0
03/01/2026,NIP TRF - BRT BUS TICKET,1100.0,,-61400.0
03/01/2026,POS PURCHASE - SHOPRITE LEKKI MALL,33400.0,,-94800.0
03/01/2026,CHOWDECK ORDER - RESTAURANT,5700.0,,-100500.0
03/02/2026,POS PURCHASE - SHOPRITE LEKKI MALL,20200.0,,-120700.0
03/02/2026,JUMIA FOOD DELIVERY,6400.0,,-127100.0
03/02/2026,POS - KFC AJAH LEKKI,7000.0,,-134100.0
03/03/2026,POS - PHARMACY DRUGSTORE,4000.0,,-138100.0
04/01/2026,NETFLIX SUBSCRIPTION MONTHLY,5900,,-144000.0
04/01/2026,POS - KFC AJAH LEKKI,7600.0,,-151600.0
04/02/2026,NETFLIX SUBSCRIPTION MONTHLY,5900,,-157500.0
04/02/2026,POS - CHICKEN REPUBLIC IKEJA,5900.0,,-163400.0
04/02/2026,POS - COLD STONE CREAMERY IKEJA,4400.0,,-167800.0
04/02/2026,POS - PHARMACIES HEALTH SHOP,7500.0,,-175300.0
04/03/2026,NETFLIX SUBSCRIPTION MONTHLY,5900,,-181200.0
04/03/2026,JUMIA FOOD DELIVERY,8100.0,,-189300.0
04/03/2026,GLOVO FOOD DELIVERY ORDER,7700.0,,-197000.0
04/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,34400.0,,-231400.0
04/03/2026,JUMIA FOOD DELIVERY,7900.0,,-239300.0
04/03/2026,OPay Transfer In - Chidi Eze,,20000,-219300.0
05/02/2026,POS - TASTEE FRIED CHICKEN,3800.0,,-223100.0
05/02/2026,POS - PARK N SHOP SUPERMARKET,24600.0,,-247700.0
05/03/2026,TRF TO LEKKI PHASE 1 LANDLORD - RENT PAYMENT,100000,,-347700.0
05/03/2026,BARBER SHOP - CASH PAYMENT,3900.0,,-351600.0
05/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,17300.0,,-368900.0
05/03/2026,NIP TRF TO MAMA ACCOUNT - FAMILY,26500.0,,-395400.0
06/01/2026,POS - CHICKEN REPUBLIC IKEJA,5500.0,,-400900.0
06/01/2026,CHOWDECK ORDER - RESTAURANT,5800.0,,-406700.0
06/02/2026,CHOWDECK ORDER - RESTAURANT,5300.0,,-412000.0
06/03/2026,POS - TASTEE FRIED CHICKEN,3700.0,,-415700.0
06/03/2026,POS - TASTEE FRIED CHICKEN,3900.0,,-419600.0
06/03/2026,POS - CHICKEN REPUBLIC IKEJA,4900.0,,-424500.0
07/01/2026,POS - SPAR SUPERMARKET ONIRU,20100.0,,-444600.0
07/01/2026,JUMIA ONLINE PURCHASE - ELECTRONICS,35200.0,,-479800.0
07/01/2026,POS PURCHASE - SHOPRITE LEKKI MALL,19000.0,,-498800.0
07/03/2026,POS - KFC AJAH LEKKI,6300.0,,-505100.0
07/03/2026,POS - BARCELOS LEKKI PHASE 1,14300.0,,-519400.0
07/03/2026,CHOWDECK ORDER - RESTAURANT,5200.0,,-524600.0
08/01/2026,SPOTIFY PREMIUM MONTHLY,3200,,-527800.0
08/02/2026,SPOTIFY PREMIUM MONTHLY,3200,,-531000.0
08/02/2026,POS - KFC AJAH LEKKI,5800.0,,-536800.0
08/02/2026,POS - MOBIL FILLING STATION,15400.0,,-552200.0
08/02/2026,GLOVO GROCERY DELIVERY,10400.0,,-562600.0
08/02/2026,POS PURCHASE - SHOPRITE LEKKI MALL,27900.0,,-590500.0
08/03/2026,SPOTIFY PREMIUM MONTHLY,3200,,-593700.0
08/03/2026,POS - KFC AJAH LEKKI,7600.0,,-601300.0
08/03/2026,POS - CHICKEN REPUBLIC IKEJA,5900.0,,-607200.0
08/03/2026,POS - CHICKEN REPUBLIC VI LAGOS,7400.0,,-614600.0
08/03/2026,POS - CHICKEN REPUBLIC VI LAGOS,7100.0,,-621700.0
09/01/2026,POS - SPAR SUPERMARKET ONIRU,21900.0,,-643600.0
09/01/2026,POS - KFC AJAH LEKKI,6500.0,,-650100.0
09/02/2026,POS - COLD STONE CREAMERY IKEJA,4700.0,,-654800.0
09/03/2026,NIP TRF TO SISTER NGOZI,16300.0,,-671100.0
09/03/2026,POS - SPAR SUPERMARKET ONIRU,20400.0,,-691500.0
10/01/2026,CHOWDECK ORDER - RESTAURANT,5200.0,,-696700.0
10/01/2026,GLOVO GROCERY DELIVERY,9700.0,,-706400.0
10/02/2026,EKEDC PREPAID TOKEN - ELECTRICITY,15000,,-721400.0
10/03/2026,EKEDC PREPAID TOKEN - ELECTRICITY,15000,,-736400.0
10/03/2026,POS - TOTAL ENERGIES FILLING STATION,16300.0,,-752700.0
10/03/2026,CHOWDECK ORDER - RESTAURANT,5700.0,,-758400.0
10/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,31200.0,,-789600.0
11/02/2026,POS - TASTEE FRIED CHICKEN,3800.0,,-793400.0
11/02/2026,NIP TRF TO MAMA ACCOUNT - FAMILY,34100.0,,-827500.0
11/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,18200.0,,-845700.0
12/01/2026,CHATGPT PLUS SUBSCRIPTION,12800,,-858500.0
12/01/2026,EKEDC PREPAID TOKEN - ELECTRICITY,15000,,-873500.0
12/01/2026,UBER TRIP - AIRPORT LAGOS,9100.0,,-882600.0
12/02/2026,CHATGPT PLUS SUBSCRIPTION,12800,,-895400.0
12/02/2026,POS - BOOK STORE IKEJA,6800.0,,-902200.0
12/02/2026,GLOVO FOOD DELIVERY ORDER,6200.0,,-908400.0
12/02/2026,POS - KFC AJAH LEKKI,7600.0,,-916000.0
12/02/2026,POS - CONOIL FILLING STATION LEKKI,16600.0,,-932600.0
12/03/2026,CHATGPT PLUS SUBSCRIPTION,12800,,-945400.0
12/03/2026,POS - MOBIL FILLING STATION,13200.0,,-958600.0
12/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,33000.0,,-991600.0
13/01/2026,GLOVO FOOD DELIVERY ORDER,7800.0,,-999400.0
13/01/2026,ATM CASH WITHDRAWAL - GTB ATM,21100.0,,-1020500.0
13/01/2026,POS - TASTEE FRIED CHICKEN,4300.0,,-1024800.0
13/02/2026,JUMIA FOOD DELIVERY,6100.0,,-1030900.0
13/02/2026,BOLT RIDE - IKEJA TO LEKKI,3100.0,,-1034000.0
13/03/2026,BARBER SHOP - CASH PAYMENT,3400.0,,-1037400.0
